index,OID,Join_Count,TARGET_FID,osm_id,name,Lat,Lon,Population
0,-1,1,1,60715164,Goma,-1.6665278,29.2254167,6.88166
1,-1,1,2,83540909,Butembo,0.1248611,29.2920833,6.29194
2,-1,1,3,310057586,Kibirizi,-0.9081944,29.2029167,15.94287
3,-1,1,4,310819376,Oicha,0.6968056,29.5173611,2.67179
4,-1,1,5,310985979,Sake,-1.57125,29.0534722,14.49495
5,-1,1,6,435553907,Libokora,0.3490278,29.6420833,2.67179
6,-1,1,7,435574818,Sikwaila,0.6231944,29.4856944,2.67179
7,-1,1,8,435754727,Kipese,-0.2381944,29.2918056,11.24232
8,-1,1,9,435818462,Beni,0.49375,29.4651389,50.14311
9,-1,1,10,435846536,Butusande,-1.1481944,29.4304167,15.94287
10,-1,1,11,436062748,Kanyabayonga,-0.7004167,29.1704167,15.94287
11,-1,1,12,462145515,Kitchanga,-1.2504167,29.0609722,15.94287
12,-1,1,13,626501260,Ngadi,0.5393056,29.4920833,50.14311
13,-1,1,14,626508813,Mbau,0.6529167,29.49875,2.67179
14,-1,1,15,626510246,Kokola,0.7818056,29.5995833,2.67179
15,-1,1,16,626511880,Eringeti,0.8520833,29.6123611,2.67179
16,-1,1,17,626524387,Kasindi,0.0479167,29.6868056,2.67179
17,-1,1,18,626544643,Pasisi,0.5034722,29.4070833,50.14311
18,-1,1,19,626545213,Bingo,0.5220833,29.3198611,2.67179
19,-1,1,20,626547067,Home,0.5573611,29.3234722,2.67179
20,-1,1,21,626550496,Matango,0.6123611,29.2929167,2.67179
21,-1,1,22,626734473,Walikale,-1.4301389,28.0765278,19.79753
22,-1,1,23,637529252,Kitika,-1.2084722,28.3645833,19.79753
23,-1,1,24,638592433,Lubero,-0.15875,29.23875,11.24232
24,-1,1,25,942807849,Biruwe,-1.21125,27.6018056,19.79753
25,-1,1,26,943264545,Ishasha,-0.7370833,29.6234722,15.94287
26,-1,1,27,1070606668,Tayna,-0.3379167,28.9526389,11.24232
27,-1,1,28,1070606669,Kasugho,-0.2559722,29.0004167,11.24232
28,-1,1,29,1070611313,Karongo,-0.1981944,29.1829167,11.24232
29,-1,1,30,1070611321,Kagheri,-0.2206944,29.1268056,11.24232
30,-1,1,31,1070611326,Ngango,-0.20875,29.1715278,11.24232
31,-1,1,32,1070611330,Katumbi,-0.2273611,29.2148611,11.24232
32,-1,1,33,1070611334,Kitowa,-0.2004167,29.1695833,11.24232
33,-1,1,34,1070611339,Migheri,-0.19875,29.1829167,11.24232
34,-1,1,35,1074007163,Alimbongo,-0.36875,29.1559722,11.24232
35,-1,1,36,1074007172,Kasigiri,-0.4223611,29.1273611,11.24232
36,-1,1,37,1074007184,Vutsorovia,-0.39375,29.1729167,11.24232
37,-1,1,38,1074007210,Musindi,-0.3606944,29.1495833,11.24232
38,-1,1,39,1074007226,Mambosa,-0.3434722,29.15875,11.24232
39,-1,1,40,1074007232,Bingi,-0.4079167,29.0784722,11.24232
40,-1,1,41,1074007260,Gunda,-0.3704167,29.1115278,11.24232
41,-1,1,42,1074011529,Kiribata,-0.3854167,29.3170833,11.24232
42,-1,1,43,1074011538,Kalimba,-0.3979167,29.3206944,11.24232
43,-1,1,44,1074011563,Kirikiri,-0.3648611,29.3131944,11.24232
44,-1,1,45,1074054120,Kayna,-0.6093056,29.1726389,11.24232
45,-1,1,46,1074054126,Mbwavinwa,-0.5706944,29.0056944,11.24232
46,-1,1,47,1074054137,Musange,-0.6968056,29.1554167,11.24232
47,-1,1,48,1074054140,Kanyatsi,-0.5429167,29.0451389,11.24232
48,-1,1,49,1074054154,Kibanda,-0.62125,29.14375,11.24232
49,-1,1,50,1074054155,Mulinde,-0.70625,29.0551389,11.24232
50,-1,1,51,1074054163,Luofu,-0.6168056,29.1129167,11.24232
51,-1,1,52,1074054168,Lulinde,-0.7531944,29.0604167,11.24232
52,-1,1,53,1074054177,Kasiki,-0.5881944,29.0690278,11.24232
53,-1,1,54,1074054179,Bwasinge,-0.5198611,29.1495833,11.24232
